店铺名称,店铺具体地址,店铺具体坐标.纬度,店铺具体坐标.经度,店铺所在地区,店铺所在城市,店铺所在省份,店铺类别
恬小零(庭悦荟店),金银湖办事处马池中路9号家美天晟阳光城(汉口印象)二期B23号楼/单元1层商40,30.657738,114.223398,东西湖区,武汉市,湖北省,餐饮服务;餐饮相关场所;餐饮相关
美蛙鱼头川湘菜(沿海丽水佳园店),沿海丽水佳园西3门北130米,30.65406,114.225718,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
小禾宝锅盔烧烤店,环湖中路马池中路庭悦荟B1-14号商铺,30.657461,114.223234,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;特色/地方风味餐厅
优斯麦手工烘焙(万丰·丰泽园店),金银湖街道马池北路万丰丰泽园30栋11号优斯麦,30.661364,114.224059,东西湖区,武汉市,湖北省,餐饮服务;餐饮相关场所;餐饮相关
常青农家小院(都市假日店),马池路以北、机场路以西都市假日东门3号门面,30.653035,114.23163,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
冯记招牌水煮鱼(沿海丽水佳园店),马池路1号附58号,30.653821,114.225746,东西湖区,武汉市,湖北省,餐饮服务;快餐厅;快餐厅
苍井外带寿司(金银湖店),马池中路庭瑞新汉口商业街39号商铺,30.657112,114.223,东西湖区,武汉市,湖北省,餐饮服务;外国餐厅;日本料理
罗氏热干牛肉面(金银湖旗舰店),庭悦荟马池中路9号附88号,30.657706,114.222948,东西湖区,武汉市,湖北省,餐饮服务;餐饮相关场所;餐饮相关
瓦罐汤(沿海丽水佳园店),金银湖马池路特1号沿海丽水佳园,30.653701,114.225729,东西湖区,武汉市,湖北省,餐饮服务;快餐厅;快餐厅
煲煲渔喝汤的水煮鱼(永旺店),金银湖办事处马池中路9号家美天晟阳光城二期B1号楼悦尚美食汇1层商1号,30.657596,114.222775,东西湖区,武汉市,湖北省,餐饮服务;餐饮相关场所;餐饮相关
快乐薯,马池西路与二号路交叉口东南80米,30.657105,114.222798,东西湖区,武汉市,湖北省,餐饮服务;餐饮相关场所;餐饮相关
重庆鸡公煲(金银湖店),金银湖办事处马池中路9号家美天晟阳光城二期B1号楼1层商2号,30.658304,114.222626,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;四川菜(川菜)
速味居黄焖鸡米饭(常青北路店),养殖场金银潭大道以北、机场路以东美联奥林匹克花园一期三区19栋1层商3,30.65403,114.234477,东西湖区,武汉市,湖北省,餐饮服务;餐饮相关场所;餐饮相关
黄蜀郎鸡公煲(沿海丽水佳园店),环湖中路丽水佳园C1-8栋17号商铺,30.653374,114.225742,东西湖区,武汉市,湖北省,餐饮服务;快餐厅;快餐厅
食神港式铁板炒饭(永旺店),美联奥林匹克花园一期三区19栋1层商5号,30.653978,114.234493,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
土家酱香饼(马池中路一分店),常青花园新区街道马池北路万丰丰泽园菜场170号,30.660822,114.222721,东西湖区,武汉市,湖北省,餐饮服务;餐饮相关场所;餐饮相关
锅仔海鲜,将军路街奥园西路2号美联奥林匹克花园一期二区10栋1尚铺,30.653819,114.234416,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;海鲜酒楼
啤酒大牌档夜烤吧,马池中路与马池西路交叉口东北60米,30.656702,114.222643,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;特色/地方风味餐厅
食尚香飘香面馆,常青北路美联奥林匹克花园,30.65425,114.235062,东西湖区,武汉市,湖北省,餐饮服务;快餐厅;快餐厅
馋十一麻辣火锅.冒菜(永旺店),养殖场金银潭大道以北、机场路以东美联·奥林匹克花园一期二区10栋1层商4号,30.65364,114.234399,东西湖区,武汉市,湖北省,餐饮服务;餐饮相关场所;餐饮相关
翻滚吧蛋炒饭(金银潭永旺店),奥林匹克花园商业街10栋商11,30.653586,114.234353,东西湖区,武汉市,湖北省,餐饮服务;餐饮相关场所;餐饮相关
北京烤鸭(万丰·丰泽园店),万丰·丰泽园东南2门旁,30.660889,114.222717,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;特色/地方风味餐厅
